Player Played_Games Goals ELO
FabianF 78 745 1724.44
monk 29 290 1684.62
z_sk 79 671 1645.46
TheRocker 112 889 1587.56
stylex 7 70 1528.05
emacs 11 87 1524.88
shamuei 2 20 1523.05
Cauruso 2 20 1509.94
EliaK-Art 1 10 1502.54
CrystalTheEevee 0 0 1500.0
Gelbbrauenlaubsaenger 0 0 1500.0
miselico 0 0 1500.0
skindoormimiz 0 0 1500.0
Nickerson 1 9 1496.8
pawelwicherek 2 6 1492.0
patatevolante4 1 6 1491.99
SlowBillBastion 1 0 1489.5
wertukhuy 1 0 1489.4
ivoms 1 5 1488.66
Rayos 1 1 1488.62
mimiz 5 35 1488.24
mahmoudtark25 2 10 1487.34
ilya_trukhin 10 79 1486.54
BirkenDirk 1 3 1486.0
josebermejo82 1 1 1482.0
oustaou 2 7 1481.94
Ghost_Rider 4 24 1481.86
Anias 2 3 1481.86
picmyk 2 2 1481.0
qxel 10 79 1479.94
Canetaazul 4 21 1479.92
Krawiec_online 2 1 1479.75
grostman07 4 17 1474.2
d112 2 0 1472.62
oneforthemoney 2 3 1471.36
Kya 3 0 1468.66
kimden 6 31 1468.06
RoSha008 2 1 1463.58
cmp 8 18 1445.24
MarcoMan 7 21 1444.15
XaeroPL 5 0 1431.42
outchoutchou_o_bike 12 22 1425.45
Waldlaubsaengernest 23 144 1414.97
bananenfisch 47 271 1398.39
